#HeroicDeathPlus Data Log - This file stores serialized data on player deaths in the following order:
#HeroicDeathPlus ??? - ???? ???? ???????? ?????? ? ??????? ? ????? ???????:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#??????|??????|?????? ????????|??????? ??????|??????????????|?????|????????? ? ??????
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
darklegend|theodu76|272x49|ENTITY_ATTACK|Arene (706.0,79.0,-35.0)|06/07/2013 19:14:17 CEST|theodu76 tue darklegend avec stone sword
theodu76|adr725|261x-109|PROJECTILE|Arene (706.0,79.0,-34.0)|06/07/2013 19:14:19 CEST|adr725 tue theodu76 avec bow & arrow
darklegend|theodu76|272x53|ENTITY_ATTACK|Arene (706.0,79.0,-32.0)|06/07/2013 19:14:47 CEST|theodu76 tue darklegend avec stone sword
theodu76|adr725|261x0|PROJECTILE|Arene (685.0,80.0,-21.0)|06/07/2013 19:14:55 CEST|adr725 tue theodu76 avec bow & arrow
adr725|darklegend|272x24|ENTITY_ATTACK|Arene (708.0,79.0,-34.0)|06/07/2013 19:15:16 CEST|darklegend tue adr725 avec stone sword
darklegend|theodu76|261x41|PROJECTILE|Arene (708.0,79.0,-31.0)|06/07/2013 19:15:19 CEST|theodu76 tue darklegend avec bow & arrow
adr725|theodu76|272x60|ENTITY_ATTACK|Arene (692.0,79.0,-32.0)|06/07/2013 19:15:31 CEST|theodu76 tue adr725 avec stone sword
theodu76|adr725|267x63|ENTITY_ATTACK|Arene (691.0,79.0,-32.0)|06/07/2013 19:15:31 CEST|adr725 tue theodu76 avec iron sword
darklegend|theodu76|272x64|ENTITY_ATTACK|Arene (686.0,80.0,-34.0)|06/07/2013 19:15:50 CEST|theodu76 tue darklegend avec stone sword
darklegend|theodu76|272x68|ENTITY_ATTACK|Arene (679.0,79.0,-32.0)|06/07/2013 19:16:35 CEST|theodu76 tue darklegend avec stone sword
theodu76|darklegend|272x30|ENTITY_ATTACK|Arene (706.0,79.0,-33.0)|06/07/2013 19:17:04 CEST|darklegend tue theodu76 avec stone sword
darklegend|theodu76|272x73|ENTITY_ATTACK|Arene (711.0,79.0,-12.0)|06/07/2013 19:17:20 CEST|theodu76 tue darklegend avec stone sword
adr725|||FIRE|Arene (686.0,35.0,-41.0)|06/07/2013 19:17:33 CEST|adr725 forgot how to stop, drop and roll
theodu76|darklegend|272x34|ENTITY_ATTACK|Arene (694.0,79.0,-28.0)|06/07/2013 19:17:48 CEST|darklegend tue theodu76 avec stone sword
darklegend|adr725|267x67|ENTITY_ATTACK|Arene (690.0,80.0,0.0)|06/07/2013 19:18:00 CEST|adr725 tue darklegend avec iron sword
adr725|theodu76|272x80|ENTITY_ATTACK|Arene (690.0,79.0,0.0)|06/07/2013 19:18:02 CEST|theodu76 tue adr725 avec stone sword
theodu76|||FIRE|Arene (689.0,43.0,-9.0)|06/07/2013 19:18:16 CEST|theodu76 forgot how to stop, drop and roll
adr725|theodu76|272x84|ENTITY_ATTACK|Arene (692.0,80.0,-10.0)|06/07/2013 19:18:23 CEST|theodu76 tue adr725 avec stone sword
theodu76|||LAVA|Arene (714.0,36.0,-32.0)|06/07/2013 19:18:42 CEST|theodu76 was killed by lava
darklegend|Zombie||ENTITY_ATTACK|Arene (708.0,79.0,-33.0)|06/07/2013 19:19:08 CEST|darklegend a ete tuee par un Zombie
TheDarwald|||LAVA|Arene (681.0,35.0,-13.0)|06/07/2013 19:19:12 CEST|TheDarwald was killed by lava
darklegend|||VOID|Arene (-198.0,-195.0,259.0)|06/07/2013 19:19:32 CEST|darklegend fell into the Gap
theodu76|||FIRE_TICK|Arene (704.0,79.0,-33.0)|06/07/2013 19:19:44 CEST|theodu76 forgot how to stop, drop and roll
darklegend|||LAVA|Arene (709.0,43.0,-44.0)|06/07/2013 19:20:13 CEST|darklegend took a bath in a lake of fire
theodu76|TheDarwald|261x0|PROJECTILE|Arene (706.0,79.0,-18.0)|06/07/2013 19:20:46 CEST|TheDarwald tue theodu76 avec bow & arrow
TheDarwald|Zombie||ENTITY_ATTACK|Arene (706.0,79.0,-15.0)|06/07/2013 19:20:47 CEST|TheDarwald a ete tuee par un Zombie
theodu76|||LAVA|Arene (689.0,43.0,-17.0)|06/07/2013 19:21:30 CEST|theodu76 was killed by lava
theodu76|||FALL|Arene (692.0,156.0,-15.0)|06/07/2013 19:21:37 CEST|theodu76 took a leap of faith
